Unnamed: 0;idsbr;nama_usaha;alamat_usaha;kode_wilayah;kdprov;kdkab;kdkec;kddesa;nmprov;nmkab;nmkec;nmdesa;perusahaan_id;skor_kalo;kegiatan_usaha;rank_nama;rank_alamat;history_ref_profiling_id;skala_usaha;sumber_data;lat;long;latlong_status;gcid;gcs_result;allow_cancel;allow_edit;allow_flagging;latitude_gc;longitude_gc;latlong_status_gc;gc_username;nama_usaha_gc;alamat_usaha_gc;lat_2;long_2;cleaned_nama_usaha;sim_score;is_duplicate;gc_flag_duplikat;match_with;alamat_cek;cleaned_alamat;id_duplikat;kbli2d;nama_usaha_with_alamat_and_kbli;hasilgc;flag_shadow;is_perorangan;is_kurung;status_perusahaan;alamat_cleaned;RT;RW;is_in_perumahan;is_in_pasar;flag_notes;id_rtrw;latitude;longitude
12932;26724861;AKIR PURWANTI;Jl. RM. Noto Sunardi RT.006 RW.005;6401040004;64;1;40;4;KALIMANTAN TIMUR;PASER;TANAH GROGOT;TANAH GROGOT;eyJpdiI6IkdXVGlQLzBVKzBZd0dBSUZUUEwyMkE9PSIsInZhbHVlIjoiQisvYjM3Z3JoWlRic3N6cDhUZlMrdz09IiwibWFjIjoiMmU1YTVmMDVkYzkwMTYxZDc0ZDllMjQzODE0ZTliOGFhOGVkMzkwMjk2ZGY5NTE0YmFlMWJmZjNhNGJmMjQ4NCIsInRhZyI6IiJ9;;"[Kegiatan Usaha: Kedai Minuman, Kategori: , KBLI: 56304]; [Kegiatan Usaha: -, Kategori: -, KBLI: 563...";;;24/11/2025;;OSS - Perorangan;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;;;akir purwanti;1;0;4;AKIR PURWANTI;Jl. RM. Noto Sunardi RT.006 RW.005;jl rm noto sunardi rt 006 rw 005;597;56;akir purwanti jl rm noto sunardi rt 006 rw 005 kbli56;1;1;1;0;Aktif;Jl RM Noto Sunardi RT006 RW005;6;5;;;TARIK 02 FEB - 12.00 WITA;6401040004_6_5;-1.92147;116.187864
0;233717;KOPKAR DHARMA DINDA MAHARANI;Batu Sopang, Batu Sopang;6401;64;1;;;KALIMANTAN TIMUR;PASER;;;eyJpdiI6InZrbkFTN3l5Z3diZmNvQVZoUEhCUXc9PSIsInZhbHVlIjoiMnBrV2swSE5LWnRha2FSZ2xoNGlaUT09IiwibWFjIjoiMDlkNzk1OWVhZGQ3NWZkNDlkOTEzYjYxNzVhNzZlOTI3MmY1NDFjNmRmZjJmZGNhMmE4NjI1ZWYzM2U2MTBmYyIsInRhZyI6IiJ9;;;;;26/10/2025;UB;;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;;;kopkar dharma dinda maharani;0;0;0;;;batu sopang batu sopang;;0;kopkar dharma dinda maharani batu sopang batu sopang kbli00;99;0;1;0;Tidak Ditemukan;Batu Sopang Batu Sopang;0;0;;;TARIK 02 FEB - 12.00 WITA;6401_0_0;;
1;233720;KOP. DAYA BERSAMA;Muara Toyo, Long Ikis;6401;64;1;;;KALIMANTAN TIMUR;PASER;;;eyJpdiI6IkZyZFF6eXNPRlBLa28zSTU4S1FTeFE9PSIsInZhbHVlIjoidzFScGZoNkRic3FHa1RtZjVhVnpFdz09IiwibWFjIjoiZjdiNzc1ZTlmM2M1ZTRhN2ZmNWQ4YzdhOTQ2NDE5MTU1ODNlZGY4ZDE2NzcwYjk0Zjk2NDBiODIyYzVmMGE1OCIsInRhZyI6IiJ9;;;;;26/10/2025;UB;;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;;;daya bersama;0;0;0;;;muara toyo long ikis;;0;daya bersama muara toyo long ikis kbli00;99;0;1;0;Tidak Ditemukan;Muara Toyo Long Ikis;0;0;;;TARIK 02 FEB - 12.00 WITA;6401_0_0;;
2;233725;KOP. HARAPAN MAKMUR;Muara Adang II, Long Ikis;6401;64;1;;;KALIMANTAN TIMUR;PASER;;;eyJpdiI6IjBBeWpUS3duc0R6VDd4RnhvSjNtOFE9PSIsInZhbHVlIjoiVTMyci9PTjEvNVFLZHpGOHZoUXhNQT09IiwibWFjIjoiZDE1MzVlMDE3OWFiMzdiMWU4YjhkZjA5ZmQ3MGEyZGIzN2VlOWFlOWMyMzAyOWYyY2QwZTkxMGY5N2NjNDVmYyIsInRhZyI6IiJ9;;;;;26/10/2025;UB;;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;;;harapan makmur;0;0;0;;;muara adang ii long ikis;;0;harapan makmur muara adang ii long ikis kbli00;99;0;1;0;Tidak Ditemukan;Muara Adang II Long Ikis;0;0;;;TARIK 02 FEB - 12.00 WITA;6401_0_0;;
3;233728;KOP KARYA DHARMA NUSANTARA;UPT Muara Adang I, Long Ikis;6401;64;1;;;KALIMANTAN TIMUR;PASER;;;eyJpdiI6IlZtYmdMKzhNYSsyUEJheHloWXhNK3c9PSIsInZhbHVlIjoiYXlMSGZDa2U5V3J1dDZGMVB0VlVwZz09IiwibWFjIjoiMmQ0ODljNTk4ZTIwMTk4OTQ0ODNkNjcxNDlhMGZmMTJiMjI2MGM0OWZhMzU2OTA3ZDFjYjYzOWQ4MDZiMjI5MyIsInRhZyI6IiJ9;;;;;26/10/2025;UB;;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;;;karya dharma nusantara;0;0;0;;;upt muara adang i long ikis;;0;karya dharma nusantara upt muara adang i long ikis kbli00;99;0;1;0;Tidak Ditemukan;UPT Muara Adang I Long Ikis;0;0;;;TARIK 02 FEB - 12.00 WITA;6401_0_0;;
4;233754;KUD PELITA HARAPAN;Long Kali, Long kali;6401;64;1;;;KALIMANTAN TIMUR;PASER;;;eyJpdiI6Im9XUFJuTFZNU09pYnhXeEQ3blRHY0E9PSIsInZhbHVlIjoiMS9uRVZ5Y2xKd2pwTnUyWEdEcHRhdz09IiwibWFjIjoiNDc1MTczMDM4OTlhZWFmODk1OTcyODExNDMxZDVkMWMwNGYxZjczNTkyNTYxYmRmYTIyNTZiMmU2MzVjYWU3ZCIsInRhZyI6IiJ9;;;;;26/10/2025;UB;;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;;;kud pelita harapan;0;0;0;;;long kali long kali;;0;kud pelita harapan long kali long kali kbli00;99;0;1;0;Tidak Ditemukan;Long Kali Long kali;0;0;;;TARIK 02 FEB - 12.00 WITA;6401_0_0;;
5;233755;KOPPAS KARYA NYATA;Gunung Steleng, Muara Komam;6401;64;1;;;KALIMANTAN TIMUR;PASER;;;eyJpdiI6InBEM2pRMkpJWDNKV3M0TGVLRU00a3c9PSIsInZhbHVlIjoiWlZYQUM3dHgyZXRQaS9BcFpTTWxuQT09IiwibWFjIjoiZTc1MTE2ZDQxNDE3YzU3NjNhYmFmMDU5ODYwZDRmZmU0YmIwZmVmYzk4OWU2ZmY1MjdiMTdiZjJiYmM2Y2ZkNCIsInRhZyI6IiJ9;;;;;26/10/2025;UB;;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;;;koppas karya nyata;0;0;0;;;gunung steleng muara komam;;0;koppas karya nyata gunung steleng muara komam kbli00;99;0;1;0;Tidak Ditemukan;Gunung Steleng Muara Komam;0;0;;;TARIK 02 FEB - 12.00 WITA;6401_0_0;;
6;233758;KOP. PUTRA PANJI MAKMUR;Uko, Muara Komam;6401;64;1;;;KALIMANTAN TIMUR;PASER;;;eyJpdiI6ImFvMmZaWjdVSVJsZzZYQTJacEhlV2c9PSIsInZhbHVlIjoicDgyaUpLSkgzZU9qNVBCaE5aNTlodz09IiwibWFjIjoiYTc2Mzc1YzE1ZDI5YTQ4ZDIyYWEyYmVkYWIyYjIwN2IwNTU4MmRlNTc4ZGQ1MGMwNDk0NTU5NGY0MjI0NzllNCIsInRhZyI6IiJ9;;[Kegiatan Usaha: -, Kategori: K, KBLI: 64141];;;26/10/2025;UB;;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;;;putra panji makmur;0;0;0;;;uko muara komam;;64;putra panji makmur uko muara komam kbli64;99;0;1;0;Tidak Ditemukan;Uko Muara Komam;0;0;;;TARIK 02 FEB - 12.00 WITA;6401_0_0;;
7;233744;KOP. KARYA SWADAYA;Muara Toyu, Long Kali;6401;64;1;;;KALIMANTAN TIMUR;PASER;;;eyJpdiI6IjFIQ3p2WFVDNkxYYjRWdWszNFFPOXc9PSIsInZhbHVlIjoiMnMvandDaGJMbFNkdjNGZFhCTFNsZz09IiwibWFjIjoiNjI5NTFkZTU1ZjEyNDczMjMxMDBmYTM1YzNmNTI0NDJhYWE3MGJmODRkMTZmYzM3ZDRmODIyNGYxZmU1YjM0NCIsInRhZyI6IiJ9;;;;;26/10/2025;UB;;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;;;karya swadaya;0;0;0;;;muara toyu long kali;;0;karya swadaya muara toyu long kali kbli00;99;0;1;0;Tidak Ditemukan;Muara Toyu Long Kali;0;0;;;TARIK 02 FEB - 12.00 WITA;6401_0_0;;
8;233750;KOP. SETIA KAWAN;Benta Suaian, Long Kali;6401;64;1;;;KALIMANTAN TIMUR;PASER;;;eyJpdiI6ImVRemtzaDBDbG1YWkcxTzFWa09kdmc9PSIsInZhbHVlIjoiRG1nSWU2bnIvSWgyVXJ1T1NVMWlqZz09IiwibWFjIjoiOWE3ZWJmZGZiMDRhNjgzZTlhZjk3YTBhODc4NGMyNzFjNGFjZjVmYzUxZDM5YmIyMThlMWMyOWIzMWMyMjMwOSIsInRhZyI6IiJ9;;;;;26/10/2025;UB;;;;invalid;;;FALSE;FALSE;TRUE;;;invalid;;;;;;setia kawan;0;0;0;;;benta suaian long kali;;0;setia kawan benta suaian long kali kbli00;99;0;1;0;Tidak Ditemukan;Benta Suaian Long Kali;0;0;;;TARIK 02 FEB - 12.00 WITA;6401_0_0;;
